date, pm25, pm10, o3, no2, so2, co
2024/6/7, 112, 56, , 40, 1, 17
2024/6/8, 116, 55, , 33, 1, 14
2024/6/9, 112, 46, , 21, 1, 11
2024/6/10, 112, 44, , 31, 1, 9
2024/6/11, 87, 56, , 40, 1, 12
2024/6/12, 111, 53, , 37, , 12
2024/6/13, 102, 62, , 33, 1, 12
2024/6/14, 118, 59, , 32, 1, 10
2024/6/15, 84, 57, , 29, 1, 13
2024/6/16, 100, 50, , 22, , 11
2024/6/17, 99, 43, , 27, 1, 8
2024/6/18, 71, 58, , 33, 1, 11
2024/6/19, 86, 60, , 35, 1, 11
2024/6/20, 98, 61, , 37, 1, 11
2024/6/21, 104, 61, , 42, 1, 13
2024/6/22, 110, 53, , 26, 1, 11
2024/6/23, 108, 46, , 21, 2, 10
2024/6/24, 104, 53, , 27, , 8
2024/6/25, 75, 17, , 18, , 5
2024/6/26, 43, 46, , 26, , 6
2024/6/27, 72, 40, , 37, , 7
2024/6/28, 76, 54, , 30, 1, 11
2024/6/29, 106, 46, , 33, 1, 10
2024/6/30, 99, 14, , , , 4
2024/7/1, 60, 35, , , 1, 10
2024/1/2, 54, 18, , 12, , 3
2024/1/3, 54, 19, , 12, , 4
2024/1/4, 37, 10, , 7, , 3
2024/1/5, 20, 13, , 10, , 4
2024/1/6, 39, 13, , , , 4
2024/1/7, 34, 19, , , , 4
2024/1/8, 43, 26, , 20, , 6
2024/1/9, 52, 22, , 20, , 4
2024/1/10, 53, 24, , 19, , 4
2024/1/11, 41, 20, , 15, , 3
2024/1/12, 43, 18, , 12, , 3
2024/1/13, 36, 8, , 9, , 3
2024/1/14, 26, 15, , 9, 1, 3
2024/1/15, 33, 23, , 17, 1, 5
2024/1/16, 59, 22, , 17, , 4
2024/1/17, 48, 39, , 18, , 4
2024/1/18, 51, 26, , 19, , 6
2024/1/19, 43, 20, , 17, , 4
2024/1/20, 38, 15, , 11, , 4
2024/1/21, 40, 12, , 8, , 3
2024/1/22, 32, 15, , 11, , 4
